Title,,Year,Rating,,,Available On,,
Mare of Easttown,TV,2021,18+,8.5/10,81/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Underground Railroad,TV,2021,18+,7.1/10,72/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Yellowstone,TV,2018,18+,8.6/10,89/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Hacks,TV,2021,N/A,8.0/10,71/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
StartUp,TV,2016,18+,8.0/10,82/100,+Rent or Buy,30Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Marvel's M.O.D.O.K.,TV,2021,18+,6.7/10,66/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Invincible,TV,2021,18+,8.8/10,94/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
"Love, Death & Robots",TV,2019,18+,8.5/10,90/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Nevers,TV,2021,18+,7.4/10,79/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Friends,TV,1994,16+,8.9/10,94/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Superman & Lois,TV,2021,16+,7.9/10,81/100,+Rent or Buy,6Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Jupiters Legacy,TV,2021,18+,6.9/10,81/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Handmaid's Tale,TV,2017,18+,8.4/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Master of None,TV,2015,18+,8.3/10,85/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Solos,TV,2021,N/A,5.5/10,57/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Parks and Recreation,TV,2009,16+,8.6/10,91/100,+Rent or Buy,30Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Halston,TV,2021,18+,7.6/10,70/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Ted Lasso,TV,2020,18+,8.7/10,90/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Bad Batch,TV,2021,7+,8.7/10,79/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Sherlock,TV,2010,16+,9.1/10,95/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Cruel Summer,TV,2021,16+,7.6/10,80/100,,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Girls5eva,TV,2021,18+,7.3/10,75/100,,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
It's Always Sunny in Philadelphia,TV,2005,18+,8.8/10,91/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Mythic Quest,TV,2020,18+,7.7/10,83/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Office,TV,2005,16+,8.9/10,93/100,+Rent or Buy,28Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Who Killed Sara?,TV,2021,18+,6.6/10,75/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Rick and Morty,TV,2013,18+,9.2/10,96/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Battlestar Galactica,TV,2004,16+,8.7/10,83/100,+Rent or Buy,74Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Shadow and Bone,TV,2021,16+,7.8/10,89/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Mosquito Coast,TV,2021,18+,7.5/10,71/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Grey's Anatomy,TV,2005,16+,7.5/10,89/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
A Discovery of Witches,TV,2018,16+,8.0/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Line of Duty,TV,2012,18+,8.7/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Prodigal Son,TV,2019,16+,7.7/10,80/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
This Is Us,TV,2016,16+,8.7/10,88/100,+Rent or Buy,15Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Better Call Saul,TV,2015,18+,8.7/10,94/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Big Sky,TV,2020,16+,6.7/10,74/100,+Rent or Buy,6Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fargo,TV,2014,18+,8.9/10,92/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Resident Alien,TV,2021,16+,8.2/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Shameless,TV,2011,18+,8.5/10,90/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Justified,TV,2010,18+,8.6/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The Walking Dead,TV,2010,18+,8.2/10,93/100,+Rent or Buy,48Free Episodes,TrackHave You Seen?AllSomeNoneCancel
