Title,,Year,Rating,,,Available On,,
Breaking Bad,TV,2008,18+,9.4/10,100/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Game of Thrones,TV,2011,18+,9.3/10,99/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Rick and Morty,TV,2013,18+,9.2/10,96/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Stranger Things,TV,2016,16+,8.7/10,96/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Chernobyl,TV,2019,18+,9.4/10,95/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Attack on Titan,TV,2013,18+,9.0/10,95/100,+ Rent or Buy,61 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Sherlock,TV,2010,16+,9.1/10,95/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Friends,TV,1994,16+,8.9/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Avatar: The Last Airbender,TV,2005,7+,9.3/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Invincible,TV,2021,18+,8.8/10,94/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Better Call Saul,TV,2015,18+,8.7/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Wire,TV,2002,18+,9.3/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Band of Brothers,TV,2001,18+,9.4/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Office,TV,2005,16+,8.9/10,93/100,+ Rent or Buy,28 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Peaky Blinders,TV,2013,18+,8.8/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Dark,TV,2017,16+,8.8/10,93/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Walking Dead,TV,2010,18+,8.2/10,93/100,+ Rent or Buy,48 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Vikings,TV,2013,18+,8.5/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Mandalorian,TV,2019,7+,8.8/10,93/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Black Mirror,TV,2011,18+,8.8/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Dexter,TV,2006,18+,8.6/10,93/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Handmaid's Tale,TV,2017,18+,8.4/10,92/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fargo,TV,2014,18+,8.9/10,92/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Boys,TV,2019,18+,8.7/10,92/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Sopranos,TV,1999,18+,9.2/10,92/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
House,TV,2004,16+,8.7/10,92/100,+ Rent or Buy,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Simpsons,TV,1989,7+,8.6/10,92/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Parks and Recreation,TV,2009,16+,8.6/10,91/100,+ Rent or Buy,30 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Mr. Robot,TV,2015,18+,8.5/10,91/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Queen's Gambit,TV,2020,18+,8.6/10,91/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Lost,TV,2004,16+,8.3/10,91/100,+ Rent or Buy,116 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Brooklyn Nine-Nine,TV,2013,16+,8.4/10,91/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Mindhunter,TV,2017,18+,8.6/10,91/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
It's Always Sunny in Philadelphia,TV,2005,18+,8.8/10,91/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
My Hero Academia,TV,2016,16+,8.5/10,90/100,+ Rent or Buy,84 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Narcos,TV,2015,18+,8.8/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Shameless,TV,2011,18+,8.5/10,90/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Westworld,TV,2016,18+,8.6/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Money Heist,TV,2017,18+,8.3/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
True Detective,TV,2014,18+,8.9/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Firefly,TV,2002,16+,9.0/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Mad Men,TV,2007,16+,8.6/10,90/100,+ Rent or Buy,88 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Community,TV,2009,7+,8.5/10,90/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
How I Met Your Mother,TV,2005,16+,8.3/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Ted Lasso,TV,2020,18+,8.7/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Supernatural,TV,2005,16+,8.4/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Modern Family,TV,2009,7+,8.4/10,90/100,+ Rent or Buy,13 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Line of Duty,TV,2012,18+,8.7/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Marvel's Daredevil,TV,2015,18+,8.6/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Expanse,TV,2015,16+,8.5/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Big Bang Theory,TV,2007,16+,8.1/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Seinfeld,TV,1989,16+,8.8/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
"Love, Death & Robots",TV,2019,18+,8.5/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Ozark,TV,2017,18+,8.4/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Blacklist,TV,2013,16+,8.0/10,90/100,+ Rent or Buy,7 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Twin Peaks,TV,1990,18+,8.8/10,89/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
South Park,TV,1997,18+,8.7/10,89/100,+ Rent or Buy,39 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Demon Slayer: Kimetsu no Yaiba,TV,2019,18+,8.7/10,89/100,+ Rent or Buy,26 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Falcon and the Winter Soldier,TV,2021,16+,7.5/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Suits,TV,2011,16+,8.4/10,89/100,+ Rent or Buy,133 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fullmetal Alchemist: Brotherhood,TV,2009,16+,9.1/10,89/100,,64 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Outlander,TV,2014,18+,8.4/10,89/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Flash,TV,2014,16+,7.7/10,89/100,+ Rent or Buy,15 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Lucifer,TV,2016,16+,8.1/10,89/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Witcher,TV,2019,18+,8.2/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Yellowstone,TV,2018,18+,8.6/10,89/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Hannibal,TV,2013,18+,8.5/10,89/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Grey's Anatomy,TV,2005,16+,7.5/10,89/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
WandaVision,TV,2021,16+,8.1/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Shadow and Bone,TV,2021,16+,7.8/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Homeland,TV,2011,18+,8.3/10,89/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Night Of,TV,2016,18+,8.5/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Crown,TV,2016,18+,8.7/10,88/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Cobra Kai,TV,2018,16+,8.6/10,88/100,+ Rent or Buy,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Prison Break,TV,2005,16+,8.3/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
This Is Us,TV,2016,16+,8.7/10,88/100,+ Rent or Buy,15 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Arrested Development,TV,2003,16+,8.7/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Sons of Anarchy,TV,2008,18+,8.5/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Gravity Falls,TV,2012,7+,8.9/10,88/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Futurama,TV,1999,16+,8.4/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fleabag,TV,2016,18+,8.7/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
House of Cards,TV,2013,18+,8.7/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Justified,TV,2010,18+,8.6/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Fringe,TV,2008,16+,8.4/10,88/100,+ Rent or Buy,100 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Last Week Tonight with John Oliver,TV,2014,18+,8.9/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Freaks and Geeks,TV,1999,16+,8.8/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Good Place,TV,2016,16+,8.2/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Vampire Diaries,TV,2009,16+,7.7/10,87/100,guid+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Americans,TV,2013,18+,8.4/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Umbrella Academy,TV,2019,16+,8.0/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Adventure Time,TV,2010,7+,8.6/10,87/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The X-Files,TV,1993,18+,8.6/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Last Dance,TV,2020,16+,9.1/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Big Little Lies,TV,2017,18+,8.5/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Pose,TV,2018,16+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Billions,TV,2016,18+,8.4/10,86/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Buffy the Vampire Slayer,TV,1997,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Orange Is the New Black,TV,2013,18+,8.0/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Silicon Valley,TV,2014,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
When They See Us,TV,2019,18+,8.9/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Scrubs,TV,2001,16+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The 100,TV,2014,16+,7.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Luther,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
BoJack Horseman,TV,2014,18+,8.7/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Archer,TV,2009,18+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The IT Crowd,TV,2006,16+,8.5/10,86/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Leftovers,TV,2014,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
